CMPD_CHEMBLID,exp,smiles
CHEMBL108,2.45,NC(=O)N1c2ccccc2C=Cc3ccccc13
CHEMBL108,2.45,NC(=O)N1c2ccccc2C=Cc3ccccc13
CHEMBL108,2.45,NC(=O)N1c2ccccc2C=Cc3ccccc13
CHEMBL176733,2.54,CC[C@@H]([C@H](CO)Cc1cncn1C)C(=O)OCc2ccc(Cl)cc2
CHEMBL93334,2.7,CNc1ccc(cc1)c2nc3ccccc3s2
CHEMBL325674,4,O=C(OC1CCc2ccccc12)N3CCC4(CC3)N(CNC4=O)c5ccccc5
CHEMBL419214,3.4,Cc1ncc([N+](=O)[O-])n1CCNC(=O)N2CCC(CC2)c3cc([nH]n3)c4ccc(Cl)cc4Cl
CHEMBL115222,2.9,CNC(=O)CN1CN(c2ccccc2)C3(CCN(Cc4cc5OCOc5cc4Cl)CC3)C1=O
CHEMBL106939,2.707,CN(C)Cc1ccccc1Sc2ccc(cc2N)C#N
CHEMBL114327,3.2,Oc1nc2ccccc2n1CCNC(=O)OCc3cc4OCOc4cc3Cl
CHEMBL115284,1.1,Clc1cc2OCOc2cc1COC(=O)N3CCC(CC3)N4C(=O)CNc5ccccc45
CHEMBL325697,4,[O-][N+](=O)c1ccc(c(c1)[N+](=O)[O-])S(=O)(=O)N2CCN(CC2)C(=O)c3cc4cc(Cl)ccc4[nH]3
CHEMBL174170,1.58,CCCCOC(=O)[C@@H](CC)[C@H](CO)Cc1cncn1C
CHEMBL325750,2.6,O=C1NCN(c2ccccc2)C13CCN(Cc4ccc5nsnc5c4)CC3
CHEMBL744,3.43,Nc1nc2ccc(OC(F)(F)F)cc2s1
CHEMBL81626,2.72,CC(C)c1ccc(NC(=N)Nc2ccc(cc2)C(C)C)cc1
CHEMBL326130,3.13,N=C(Nc1ccc(cc1)c2ccccc2)Nc3ccc(cc3)c4ccccc4
CHEMBL114204,2.4,COc1cc(CC(=O)N2CCC(CC2)n3c(O)nc4ccccc34)c(cc1OC)[N+](=O)[O-]
CHEMBL114824,3,[O-][N+](=O)c1ccc(N2CCN(CC2)C(=O)Cc3c[nH]c4ccc(Br)cc34)c5nonc15
CHEMBL112806,3.46,CC(C)(C)c1ccc(NC(=N)Nc2ccc(OCc3ccccc3)cc2)cc1
CHEMBL28853,2.7,COc1ccc(\\N=C(/N)\\Nc2ccc3CCc4cccc2c34)c5ccccc15
CHEMBL35,1.03,NS(=O)(=O)c1cc(C(=O)O)c(NCc2occc2)cc1Cl
CHEMBL35,-0.9,NS(=O)(=O)c1cc(C(=O)O)c(NCc2occc2)cc1Cl
